abbonemang, abonemang, abbonnemang  |abonnemang
aborre, -n -ar -arna  |abborre
absorbtion |absorption
address, -en -er -erna |adress
adminstrativ, -a -e -t |administrativ
advancera, -d -t  |avancera
Afganistan, -s |Afghanistan
affish, -en -er -erna |affisch
agressiv, aggresiv, -a |aggressiv
akseptera, asseptera, -r |acceptera -r
alldrig  |aldrig
allmänn, allmäna, allmännt, allmännhet  |allmän, allmänna, allmänt, allmänhet
almenacka |almanacka
altid  |alltid
altså, allså |alltså
andledning |anledning
annordna, -r -s -t -ts -de -des  |anordna
andvänd, -a -as -er -s -t -ts -e -es  |använd
apell, appel  |appell
arangera, -d -de -des -r -s -t  |arrangera
arbetssam  |arbetsam
asbets |asbest
assymetri, asymetri, -sk, -ska, -skt  |asymmetri
Azerbadjan, Azerbadzjan, -s |Azerbajdzjan
baggage, -et |bagage
bakrund, -en -er -erna |bakgrund
ballet, ballett, -en -er -erna, -ens  |balett
bassist, -en -er -erna -ens |basist
batterin |batterier
bequerell,bequerel  |becquerel
bedömm, -a -are -er -de -t -as -s -des -ts -ning  |bedöm
befodra, vidarebefodra, -n -r -d -de -t -s -des -ts |befordra, vidarebefordra
beslutsför  |beslutför
betäckning, -en -ar -arna  |beteckning
biblen |bibeln
bibliotikarie, biblotekarie, biblotikarie, -n -r |bibliotekarie
biblografi, -er, -n |bibliografi
Bipsgården |Bispgården
blixlås |blixtlås
bohusländsk, -t, -a |bohuslänsk
branch, -en -er -erna  |bransch
Brazilien, -s  |Brasilien
braziliensisk, -a -e -t |brasiliansk
brevid |bredvid
britisk, -a -e -t |brittisk
brölopp, bröllopp, -en -et |bröllop
busshållsplats, busshålltsplats |busshållplats
Californien, -s |Kalifornien
californisk, -a -e -t |kalifornisk
Canada, -s |Kanada
canadensisk, Canadensisk, Kanadensisk -a -e -t |kanadensisk
Ceasar, -s |Caesar
cermoni, -ell -ella -ellt -er -erna -n |ceremoni
chefsredaktör |chefredaktör
chocklad, -en |choklad
ciggarett, ciggarrett, -er -en -erna |cigarett, cigarrett
coh |och
crash, -a -ade -at -as -ades -ats  |krasch
Cuba, -s  |Kuba
cuban, Cuban, Kuban, -sk -ska -ske -skt |kuban
Dannmark, -s |Danmark
definera  |definiera
deamon  |daemon
diskution, disskution, disskussion, disskusion, diskusion, -en -er -erna -ens |diskussion
dommar, -e -en -na -ens -nas |domar
dylig, dyligt  |dylik, dylikt
dödstraff |dödsstraff
dömm, -a -er -de -t -as -s -des -ts  |döm
egenligen, igentligen |egentligen
endå |ändå
etioper, -n -na -nas |etiopier
euroasiatisk, -a |eurasiatisk
Euroasien, -s |Eurasien
europisk, -t -a  |europeisk
eurovisionschlagerfestivalen |Eurovisionsschlagerfestivalen
existensiell, -a, existensialism, -en  |existentiell, existentialism
experement, exprement, expriment, -ell -era  |experiment
explotion, -en -er -erna -ens  |explosion
facism, fachism, facsism, faschism, -en anti- |fascism
facist, fachist, facsist, faschist, -en -er -erna -isk -iska anti- |fascist
femenism, -en -ens, femenist, -en -er -erna -ens -ernas -isk |feminism, feminist
fiendeskap |fiendskap
Filipinerna, -s |Filippinerna
filipinsk, -a -e -t |filippinsk
finlandsvensk, -en -ar -arna -ens -arnas  |finlandssvensk
finlänsk, -a -e -t |finländsk
fins |finns
fotbollspelare, -en -ar -arna -ens -arnas  |fotbollsspelare
följdaktligen  |följaktligen
förekomer |förekommer
förnärvarande |för närvarande
förren, förrens, förräns, förens, förns |förrän
förschyld, förskyld |förkyld
föråd |förråd
föråda, förådd, förädare, förädisk  |förråda
gammla  |gamla
giftemål, -et -en -ets -ens  |giftermål
giltlig, -a -t  |giltig
gitar, gittar, -en -er -erna -ens -ernas -ist |gitarr
gjöt, gjöts (av infinitiv "gjuta") |göt, göts
grupen, -s |gruppen
hadde  |hade
hafft |haft
halvägs |halvvägs
handbollspelare, -en -ar -arna -ens -arnas  |handbollsspelare
hetro |hetero
hitills, hittils  |hittills
hollänsk, -a -e -t |holländsk
hurvida |huruvida
hyffsad, hyffsat, o- |hyfsad, hyfsat
hårddra (ett resonemang)  |hårdra
hämd, -en |hämnd
iakta |iaktta
iallafall |i alla fall
identifera, -d -de -t |identifiera
idéen |idén
igentligen |egentligen
imellan |emellan
indentifiera, indentifikation |identifiera
infantri, -et |infanteri
infomation, infromation, -en -ens |information
iniativ, initativ, intiativ, -en -et |initiativ
innifrån |inifrån
innom, innomhus |inom, inomhus
innvånar-, -e -na -nas -antal |invånar- eller innevånar
inofficiel, inoficiell, -a |inofficiell
insperation, -en |inspiration
institition, instution, instutition, instutution, -en -er -erna |institution
interjuv, intervjuv, -er -en -erna -as -a -ar -at |intervju, -er -n
isåfall |i så fall
jamaikan, -er -erna  |jamaican
jamaikansk, -a -e -t  |jamaicansk
Jorden, -s |jorden
jämnför, -t, ... |jämför
jämnlik, -a -t -het |jämlik
jämnställ, -er -a -de -d -t -da -dhet -dheten |jämställ
jämnvikt, -en |jämvikt
Kaanan |Kanaan
kakafoni |kakofoni
kariär, kariärr, -en -er |karriär
karnival, -en -er -erna |karneval
Kasakstan, -s |Kazakstan
kasett, kasset, -en -er -erna |kassett
kategorien |kategorin
Kirgisistan, -s |Kirgizistan
knytpunkt |knutpunkt
kolidera, -de -t |kollidera
kollossal,kollosal  |kolossal
komers, -en |kommers
komersiell, komerciell, kommerciell, -a -t |kommersiell
komission,kommision  |kommission
komitté, kommité, -n -er -erna |kommitté
kompletera, -d -de -nde -r -s -t |komplettera
komun, -en -ens -er -erna -ernas |kommun
koncerter, -na |konserter
konsoll, -en -er -erna |konsol
konstmuséer |konstmuseer
konstmuséet |konstmuseet
konvalecens, konvalesens |konvalescens
konvalecent, konvalesent |konvalescent
krach, krash, -a -ar -ade -at -en -er -erna |krasch
krigsföring  |krigföring
kristendommen  |kristendomen
kriterie |kriterium
kunnas |kunna
kunnde |kunde
kålla |kolla
kännd, kännt |känd, känt
landsgräns, -en -er -erna |landgräns
levnadsätt |levnadssätt
livstil, -ar -arna -en |livsstil
lr |eller
lungt |lugnt
låneord, -et -en |lånord
längst med |längs med
länstyrelse, -n -ns -r -rna |länsstyrelse
matrial, matriel, -en -et |material, materiel
majonäs  |majonnäs
medans  |medan
medecin  |medicin
medela, -r -de -t -nde -ndet -ndena |meddela
mediespelare, -n |mediaspelare
medlemar, -na -nas  |medlemmar
medlemen, -s  |medlemmen
medlemsskap  |medlemskap
mexicansk, -a -e -t |mexikansk
Mexico, mexico, -s  |Mexiko
mkt |mycket
modifera, -d -de -r -t |modifiera
modifering, -ar -arna -en |modifiering
muséet, muséer, -na  |museet, museer
musikvideos |musikvideor
Månen, -s |månen
måsta |måste
nederlänsk, -a -e -t |nederländsk
noggrannt, nogrannt  |noggrant
nogrann, -a  |noggrann
nummret |numret
Nya Zealand, -s |Nya Zeeland
nya zeeländare, -n |nyzeeländare
nya zeeländsk, -a -t |nyzeeländsk
någongång |någon gång
nämd, nämt, nämde  |nämnd, nämnt, nämnde
nämnligen |nämligen
ochså, oxå  |också
odh, ofh, oxh, ovh, ohc |och
offciell, offeciel, offeciell, officell, officiel, oficiell, -a -t |officiell
ogiltlig, -a -t  |ogiltig
omdömme -n -na -t |omdöme
omständig, -a -t |omständlig, -a -t
orginal-, -et -en  |original
orginell, -t -a -e  |originell
packetera, -d -de -des -t -ts |paketera
paralel, paralell, parallel, parralel, parralell, parrallel, parrallell, -t -a |parallell
parantes, -en -er -erna  |parentes
persier, -n -na -nas |perser
